title,type,subsection,main_content,context,outcome,predicted_references,predicted_context,predicted_outcome
yeast,Q1.1,"High-quality assemblies of 1,482 genomes","To comprehensively capture species-wide diversity, ... (Fig. 1a)",,"we sequenced 989 natural S. cerevisiae isolates using Oxford Nanopore technology (ONT)19,34 ... We supplemented this with ONT data from 14 beer isolates35 and 24 Taiwanese isolates36, for a total of 1,027 isolates. A hybrid assembly pipeline was utilized to maximize contiguity and completeness (Supplementary Fig. 2 and Methods), ... We also included 71 assemblies from the S. cerevisiae reference assembly panel7, resulting in 1,086 isolates overall.","10.1038/s41576-020-0236-x, 10.1126/science.abj6987","Traditional genome-wide association studies (GWAS) have relied heavily on short-read sequencing, which is largely limited to detecting single-nucleotide polymorphisms (SNPs) and small indels, often failing to resolve larger structural variants (SVs) due to read-length constraints in complex or repetitive genomic regions. Long-read sequencing technologies (such as Oxford Nanopore or PacBio) overcome this barrier by producing sequence fragments long enough to span these complex loci, enabling the generation of gapless, telomere-to-telomere (T2T) assemblies and the construction of high-resolution, population-scale pangenomes that capture the full spectrum of genetic variation.","We performed high-coverage long-read sequencing on a cohort of 1,086 natural S. cerevisiae isolates to generate near telomere-to-telomere genome assemblies, which were then utilized to construct a graph-based pangenome and catalogue comprehensive structural variant and gene content diversity across the species."
yeast,Q1.1,Species-wide SV spectrum,... to assess structural heterozygosity in S. cerevisiae.,,we used haplotype-resolved assemblies from 396 heterozygous isolates,10.1038/s41586-018-0030-5; 10.1038/s41592-018-0001-7,"Wild isolates of Saccharomyces cerevisiae are frequently diploid or polyploid and harbor significant genetic heterozygosity. Short-read sequencing often fails to resolve complex heterozygous structural variants (SVs) due to read length constraints in repetitive regions. Long-read sequencing overcomes this limitation by spanning SV breakpoints, allowing computational tools to accurately phase alleles and detect structural heterozygosity based on the proportion of alternative and reference read support within an individual's genome.","Map the raw long-read sequencing data back to the primary telomere-to-telomere genome assembly for each of the 1,086 isolates, and execute a long-read structural variant caller (such as Sniffles or SVIM) to identify and quantify heterozygous structural variants by analyzing the allele frequency of the mapped reads."
yeast,Q2.3,Species-wide SV spectrum,"SVs in subtelomeric regions showed higher heterozygosity (Extended Data Fig.4d), ",consistent with the known structural variability of these regions.,N/A,"10.1038/s41586-018-0030-5, 10.1038/ng.3847","It is well established that subtelomeric regions in Saccharomyces cerevisiae are highly plastic, rapidly evolving genomic compartments. They experience elevated rates of ectopic recombination and relaxed purifying selection compared to conserved chromosomal cores, making them known hotspots for genetic diversity, structural rearrangements, and adaptive gene family expansions.","This suggests that the elevated structural heterozygosity at chromosome ends is actively generated and maintained by frequent recombination events, serving as a dynamic evolutionary reservoir. Consequently, these peripheral genomic regions provide high structural plasticity that facilitates rapid phenotypic adaptation to diverse ecological niches without risking deleterious disruptions to essential core-genome functions."
yeast,Q2.3,Genomic distribution of SVs,"We analysed the genomic distribution of SVs and found it to be highly uneven, with significant enrichment in subtelomeric regions (two-sided Fisher exact test, P = 1.1 × 10−309). Although SNPs and indels are also enriched in these regions, the enrichment is much stronger for SVs (Fig. 2d). By computing structural diversity along the genome, we identified bursts of diversity that are often specific to a single SV type (Fig. 2e) and defined 46 SV hotspots (Supplementary Table5), including 21 translocation hotspots, nearly all in subtelomeric regions. One notable exception is a well-described reciprocal translocation between chromosomes 8 and 16, ... SSU1 gene located near the breakpoint38 (Fig. 2e). Hotspots for PAVs, CNVs and inversions often mapped to TE-rich regions or ... such as FLO39,40, CUP1 ..., and ... such as HPF1, SPA2 and NUM1 .... An inversion hotspot on chromosome 14 overlaps a 24-kb region flanked by inverted repeats, ...","...which confers sulfite resistance through the overexpression of the SSU1 gene located near the breakpoint38...  SV-prone genes, such as FLO39,40 CUP1 (ref.41), ... genes with tandem repeats, ...(refs. 42,43) ... probably driven by recombination44","These findings indicate that SV hotspots arise either from genome fragility, linked to Ty elements or repetitive sequences, or from adaptive pressures targeting specific genes.","10.1038/s41586-018-0030-5, 10.1038/ng.3847","It is well established that subtelomeric regions and transposable element (TE)-rich domains in Saccharomyces cerevisiae are highly dynamic 'plasticity zones' prone to non-allelic homologous recombination and ectopic rearrangements. Consistent with prior population genomic studies, these unstable, repetitive regions act as evolutionary engines that facilitate the rapid expansion, deletion, and diversification of environmentally responsive multigene families—such as those involved in flocculation (FLO) and stress/metal resistance (CUP1)—which are vital for niche adaptation.","This indicates that the yeast genome features a compartmentalized evolutionary architecture, where the type and frequency of structural mutations are mechanistically dictated by the local sequence landscape (e.g., repeats and telomere proximity). Consequently, structural genetic diversity does not accumulate randomly but is heavily channeled into specialized hypermutable 'hubs' at the genome's periphery, which disproportionately supply the complex genetic variations required for rapid adaptive and phenotypic innovation in natural populations."
yeast,Q1.2,Genomic distribution of SVs,"These findings indicate that SV hotspots arise either from genome fragility, linked to Ty elements or repetitive sequences, or from adaptive pressures targeting specific genes. To distinguish these mechanisms, ",,we examined the distribution of hotspot SVs across species clades with known ecological origins45.,"10.1534/genetics.108.086967, 10.1038/s41586-018-0030-5","Determining whether genomic hotspots are driven by mutational bias (fragility) or positive selection requires separating the intrinsic structural mutation rate from environmental filtering. Mutation accumulation (MA) experiments achieve this by propagating organisms through repeated single-cell bottlenecks, which severely reduces the efficacy of natural selection and allows mutations to accumulate at their spontaneous intrinsic rates. By pairing yeast MA lines with long-read sequencing, researchers can precisely map regions of inherent genomic fragility—such as those prone to Ty element transposition, replication slippage, or repetitive sequence recombination—unconfounded by selection (DOI: 10.1534/genetics.108.086967). Comparing these unselected de novo structural variant (SV) landscapes against population-level genomic data (DOI: 10.1038/s41586-018-0030-5) allows researchers to differentiate intrinsic mutational bias from adaptive selection. Specifically, if a natural SV hotspot matches an MA-line hotspot, it is likely driven by intrinsic fragility; if a natural hotspot lacks a high de novo mutation rate in MA lines, it is likely maintained by adaptive pressure.","we will perform long-read sequencing (e.g., PacBio or Oxford Nanopore) on established Saccharomyces cerevisiae mutation accumulation (MA) lines to map the baseline landscape of spontaneous, unselected de novo SVs. We will then cross-reference these intrinsic fragility hotspots with the SV distribution in the 1,086 natural genomes, calculating the ratio of observed natural SV frequencies to the MA-derived mutation rate to isolate hotspots generated by structural fragility versus those driven by adaptive environmental selection."
yeast,Q2.4,Genomic distribution of SVs,"Out of the 46 hotspots, 23 were evenly distributed across clades and localized to fragile regions (Supplementary Table 5), whereas the remaining 23 were clade-enriched, ... —for example, SVs associated with sulfite and copper resistance were enriched in wine isolates (Supplementary Table 5).",,reflecting either population bottlenecks or local adaptation,10.1038/s41586-018-0030-5,"Consistent with previous global yeast genome analyses, it is well established that wine lineages of Saccharomyces cerevisiae undergo strong anthropogenic selection to adapt to specific viticultural and enological stressors. Specifically, the historical use of copper-based fungicides in vineyards and the addition of sulfites as antimicrobial preservatives during fermentation select for adaptive structural variants, such as copy number expansions of the CUP1 gene (copper resistance) and translocations or promoter mutations altering SSU1 expression (sulfite tolerance).","This indicates that the genomic landscape of structural variation is governed by two distinct evolutionary forces: intrinsic mutational vulnerability at fragile regions and extrinsic niche-specific positive selection. The prominent clade-enrichment of SV hotspots suggests that structural variants are not merely byproducts of genomic instability, but actively serve as a primary genetic mechanism driving rapid ecological adaptation and domestication in response to distinct environmental pressures."
yeast,Q1.1,SV diversity and population structure,"To explore the relationship between population structure and SV diversity,",,we built separate phylogenies using SNP and SV genotypes (Supplementary Fig.3).,10.1038/s41586-018-0030-5,"Population structure in diverse species cohorts can be accurately delineated by applying phylogenetic clustering and dimensionality reduction to genome-wide variant data. Previous large-scale genomic studies in S. cerevisiae have demonstrated that grouping isolates into distinct ecological, geographic, or evolutionary clades based on comprehensive variant matrices allows researchers to systematically track how complex genetic variations, such as structural variants (SVs), segregate and accumulate differently across distinct subpopulations.","Construct a genome-wide phylogenetic tree (e.g., using a neighbor-joining or maximum likelihood method) and perform principal component analysis (PCA) on the variant calls from the 1,086 isolates to define distinct genetic lineages, followed by statistical comparison of SV burden, types, and size distributions across these identified clades."
yeast,Q2.3,A complete gene-based pangenome,"The pangenome consists of 5,047 core genes shared by all isolates and 3,494 accessory genes with variable presence. Accessory genes were further classified into soft core (1,263 genes present in >90% of isolates), dispensable (2,102 genes in 0.001–90%) and private (129 genes unique to one isolate) categories (Fig. 3a). The high proportion of core and soft core genes (73.9%) indicates moderate gene content variation, ","consistent with a closed pangenome typical of many eukaryotes14,18,25,46–48.",N/A,10.1038/s41586-018-0030-5; 10.1038/s41576-020-0210-7,"Consistent with previous large-scale genomic surveys of S. cerevisiae and other eukaryotes, it is established that eukaryotic pangenomes typically exhibit a 'closed' or restricted structure characterized by a dominant core genome fraction, unlike the highly open pangenomes frequently observed in bacteria. The large core genome is known to maintain essential, fundamentally conserved cellular processes, whereas the accessory genome serves as a flexible reservoir enriched for conditionally beneficial genes involved in niche-specific adaptations, such as specialized metabolism, fermentation, and environmental stress responses.","Therefore, this suggests that the fundamental biological architecture of S. cerevisiae is highly evolutionarily constrained, and its broad ecological success does not rely on massive, continuous gene acquisition. Instead, it indicates that the organism's remarkable phenotypic diversity and ability to colonize distinct environmental niches are primarily driven by structural and regulatory variations within a largely conserved genomic backbone, supplemented by a targeted, moderately sized arsenal of adaptive accessory genes."
yeast,Q2.3,A complete gene-based pangenome,"Using previously generated transcriptomic data20, we found that core genes are more highly expressed than accessory genes (Supplementary Fig. 5), ","consistent with findings in other species14,18,49,50.",N/A,"10.1038/s41586-018-0030-5, 10.1038/nrmicro.2016.140","This is consistent with established pangenomic principles observed across diverse species, where core genomes predominantly consist of essential, broadly conserved 'housekeeping' genes (e.g., those governing fundamental cellular metabolism and translation) that require robust, constitutive transcription. In contrast, accessory genes typically encode specialized, condition-specific functions—such as environmental stress responses, virulence, or niche adaptation—that are maintained at low baseline expression levels and are only strongly transcribed under specific ecological stimuli.","Therefore, the transcriptional architecture of the yeast pangenome is tightly coupled to functional essentiality, reflecting an evolutionary division of labor: the core genome is constitutively active to guarantee fundamental cellular viability across all isolates, while the accessory genome acts as a conditionally regulated, low-cost genetic reservoir that drives phenotypic plasticity and adaptation to specific environments without imposing unnecessary metabolic burdens on the cell."
yeast,Q1.1,A complete gene-based pangenome,"To investigate the origin of non-reference genes, ",,we aligned novel gene sequences to a curated eukaryotic database (Supplementary Table 8 and Methods).,10.1038/s41586-018-0030-5,"Comparative genomics approaches, specifically sequence homology mapping and phylogenetic analyses, are established methods for tracing the evolutionary history of novel genetic sequences. Previous population-scale sequencing studies in yeast have demonstrated that mapping non-reference sequences against outgroup genomes and comprehensive nucleotide databases can successfully identify if novel sequences arose via introgression from closely related species (such as Saccharomyces paradoxus) or through horizontal gene transfer (HGT) from distant taxa.","we will perform BLASTn and BLASTp sequence homology searches of the newly identified 2.5 Mb of non-reference sequences against the NCBI nucleotide/nr databases and a curated genomic database of the Saccharomyces sensu stricto complex, followed by maximum-likelihood phylogenetic tree construction to classify the genes as introgression, HGT, or de novo events."
yeast,Q2.4,A complete gene-based pangenome,"Among the 2,199 novel genes, 1,233 (56.1%) showed highest similarity to close Saccharomyces relatives, ",,"suggesting introgression,","10.1038/s41586-018-0030-5, 10.1038/nature07743","It is well established that interspecific hybridization and subsequent introgression are major evolutionary mechanisms driving genomic diversity and environmental adaptation in natural yeast populations. Previous large-scale genomic surveys of S. cerevisiae have demonstrated that gene flow from closely related species within the Saccharomyces sensu stricto complex (such as S. paradoxus and S. mikatae) significantly expands the accessory genome, providing a pool of genetic variation that aids in adaptation to novel ecological niches. This is consistent with extensive pangenome and population genomics studies of S. cerevisiae.","Therefore, this suggests that the majority of the newly discovered accessory gene content in S. cerevisiae is acquired through historical introgression events with sister species, or alternatively, represents ancestral genomic regions that were differentially retained. This indicates that interspecific gene flow is a primary architectural driver of the S. cerevisiae pangenome, supplying the unmapped structural and genic variations necessary to shape complex phenotypic diversity across different environments."
